matrix,vol_mfg,vol_mmg,vol_mfgir,vol_pfg,vol_pmg,vol_pfgir,time_mfg,time_mmg,time_mfgir,time_pfg,time_pmg,time_pfgir
scagr7-2b,30,7,23,7,7,7,0.117594,0.122667,0.122758,0.046478,0.041776,0.051157
msc00726,658,300,300,571,301,347,0.114368,0.06502,0.124482,0.053646,0.038368,0.066329
beaflw,466,422,385,464,334,438,0.434073,0.071019,0.459793,0.216611,0.108365,0.229591
oscil_dcop_07,2,2,2,2,2,2,0.00428,0.004908,0.004481,0.002472,0.002514,0.002846
west0167,8,9,8,9,7,9,0.002731,0.002361,0.002827,0.001741,0.00211,0.001878
oscil_dcop_05,2,2,2,2,2,2,0.00476,0.004844,0.004922,0.002376,0.004523,0.002732
oscil_dcop_04,2,2,2,2,2,2,0.004243,0.004819,0.004559,0.002425,0.002546,0.002881
oscil_dcop_03,2,2,2,2,2,2,0.004359,0.005118,0.004446,0.002447,0.002631,0.00277
oscil_dcop_02,2,2,2,2,2,2,0.004171,0.004854,0.004563,0.002342,0.002546,0.002761
oscil_dcop_01,2,2,2,2,2,2,0.004233,0.004745,0.004461,0.002487,0.002541,0.002753
steam2,131,120,120,120,120,120,0.036639,0.01249,0.040792,0.013139,0.008515,0.014212
minnesota,35,34,35,34,38,34,0.013395,0.011968,0.014732,0.009125,0.007335,0.008119
oscil_dcop_09,2,2,2,2,2,2,0.004257,0.005037,0.004531,0.002496,0.002583,0.00277
oscil_dcop_08,2,2,2,2,2,2,0.004311,0.004911,0.004597,0.002446,0.002593,0.002768
lshp1561,82,76,77,82,80,77,0.026357,0.015848,0.027859,0.009493,0.008009,0.011936
tols4000,0,0,0,0,0,0,0.001733,0.001745,0.001771,0.001691,0.001823,0.001728
will57,4,4,4,7,4,4,0.002059,0.001858,0.00207,0.001622,0.000931,0.001853
lp_bnl1,53,52,52,48,48,48,0.014372,0.009127,0.01557,0.006526,0.004679,0.006964
lp_bnl2,126,129,124,141,135,135,0.033762,0.028823,0.037143,0.016489,0.014477,0.021872
reorientation_1,26,38,26,16,26,14,0.025863,0.018632,0.026742,0.016561,0.009196,0.018893
reorientation_3,79,74,77,26,38,26,0.206591,0.133138,0.212828,0.030416,0.01732,0.032056
bp_0,33,21,32,22,18,22,0.011819,0.008458,0.010692,0.00457,0.005204,0.005159
reorientation_5,67,74,66,14,14,14,0.257363,0.17741,0.26572,0.033113,0.019538,0.035292
reorientation_4,76,74,74,14,14,14,0.22651,0.162618,0.236042,0.030575,0.018741,0.035172
reorientation_7,54,62,50,26,26,26,0.280688,0.188973,0.294788,0.033374,0.019609,0.040847
reorientation_6,63,98,62,26,38,26,0.277583,0.185939,0.280679,0.033737,0.020118,0.036971
lp_recipe,22,27,11,20,11,11,0.003143,0.002767,0.003565,0.001345,0.001092,0.001567
reorientation_8,104,70,99,26,26,26,0.302804,0.201054,0.306165,0.034172,0.020549,0.038362
chesapeake,23,18,21,19,19,19,0.002335,0.001226,0.002447,0.001379,0.001049,0.001449
lp_kb2,15,15,15,18,15,18,0.002564,0.00105,0.00241,0.001093,0.001088,0.001116
ash958,9,10,9,11,12,11,0.004728,0.004554,0.005187,0.003172,0.003262,0.003518
goddardRocketProblem_1,36,17,31,26,18,26,0.025693,0.015273,0.028982,0.013785,0.008472,0.01457
goddardRocketProblem_2,18,34,18,10,10,10,0.030417,0.015974,0.028356,0.015216,0.009125,0.016761
co5,478,190,336,128,169,128,0.212951,0.118116,0.243126,0.144416,0.083391,0.148331
Erdos991,114,100,105,112,112,102,0.009371,0.008261,0.01094,0.005496,0.005457,0.006821
Erdos992,289,237,271,252,254,247,0.029375,0.032691,0.040766,0.016775,0.023854,0.022803
ch6-6-b5,0,0,0,0,0,0,0.001178,0.001306,0.001226,0.001242,0.001159,0.001257
ch6-6-b4,1138,1080,1080,1382,1082,1375,0.080472,0.10856,0.089628,0.03677,0.050369,0.046274
ch6-6-b3,1130,1086,1094,1002,1090,990,0.059268,0.041521,0.066147,0.02724,0.031627,0.033966
nnc1374,49,49,49,54,61,54,0.021623,0.016566,0.024116,0.008164,0.007137,0.009437
ch6-6-b1,31,31,31,27,26,27,0.001673,0.001722,0.001956,0.001375,0.00137,0.001573
west1505,17,19,17,23,17,21,0.014808,0.010483,0.015481,0.005918,0.005724,0.007155
de080285,38,41,38,37,40,36,0.011711,0.008879,0.012511,0.006044,0.005456,0.007035
